,id,class,latitude,longitude
81,267853854,Insecta,30.2813583333,-97.7512366667
82,267850886,Insecta,30.281655,-97.7515866667
83,267819448,Insecta,30.3186964299,-97.7231684918
84,267756348,Insecta,30.2662216667,-97.8350833333
85,267282945,Insecta,30.3177415844,-97.7317934129
86,267233654,Insecta,30.269317627,-97.771697998
87,267225795,Insecta,30.3354674627,-97.6935907074
88,266444173,Insecta,30.2676416667,-97.760755
89,265856832,Insecta,30.3363333333,-97.7324916667
90,265420361,Insecta,30.2814198,-97.7516732
91,265420335,Insecta,30.2814198,-97.7516732
92,265283651,Insecta,30.2859788952,-97.7533696509
93,265243795,Insecta,30.3397885066,-97.7803413845
94,264996485,Insecta,30.3280916667,-97.718825
95,264937773,Insecta,30.340819526,-97.7589347164
96,264445105,Insecta,30.2652133333,-97.8230366667
97,263433318,Insecta,30.2701833333,-97.8273083333
98,263419827,Insecta,30.2452650114,-97.8013016984
99,263240757,Insecta,30.2899083333,-97.73182
100,263240711,Insecta,30.2902133333,-97.7309716667
101,263224918,Insecta,30.2771133333,-97.74778
102,263194127,Insecta,30.2901656179,-97.7329088562
103,263172372,Insecta,30.2901267496,-97.7309974172
104,263172066,Insecta,30.2898810638,-97.7311424603
105,263170238,Insecta,30.2909455703,-97.7319278911
106,263169875,Insecta,30.2904973652,-97.7307978326
107,263169653,Insecta,30.2901033247,-97.7306967611
108,262205473,Insecta,30.2836325346,-97.7693888378
109,262079431,Insecta,30.2830560481,-97.742072911
110,262035268,Insecta,30.2643916667,-97.8233633333
111,260520429,Insecta,30.2866210787,-97.7377165137
112,260425556,Insecta,30.3374916667,-97.7248166667
113,259811096,Insecta,30.2646972222,-97.7745138889
114,257714030,Insecta,30.2495426898,-97.7100727458
115,255807800,Insecta,30.343555,-97.7440416667
116,255683013,Insecta,30.3147222222,-97.7547222222
117,255334884,Insecta,30.2759833333,-97.81423
118,253960090,Insecta,30.2621259722,-97.743797
119,252161609,Insecta,30.2888736997,-97.7344678997
120,251811788,Insecta,30.3067294141,-97.8220788305
121,251811739,Insecta,30.3066759414,-97.8221086326
122,251811723,Insecta,30.3066759414,-97.8221086326
123,251806343,Insecta,30.3080559593,-97.8213187954
124,249408325,Insecta,30.2815583333,-97.751275
125,247951215,Insecta,30.2898344348,-97.7157418458
126,247859140,Insecta,30.3084640278,-97.7171706944
127,247269389,Insecta,30.28178,-97.7514716667
128,247230758,Insecta,30.2814197854,-97.7516732365
129,247044067,Insecta,30.2358754445,-97.6916903258
130,245566243,Insecta,30.296775,-97.6465083333
131,245093973,Insecta,30.33603,-97.7434083333
132,244765218,Insecta,30.2368805556,-97.7054111111
133,244631934,Insecta,30.2367921038,-97.7053589278
134,244034209,Insecta,30.2815099063,-97.7781752678
135,242817248,Insecta,30.2592179925,-97.7448465508
136,242817206,Insecta,30.2148939307,-97.717618233
137,242817193,Insecta,30.3169836237,-97.6661506131
138,242425838,Insecta,30.2942272997,-97.7410768
139,242318948,Insecta,30.2882861111,-97.737725
140,242192506,Insecta,30.2887066712,-97.7481908209
141,242168862,Insecta,30.2980604978,-97.744506013
142,241401671,Insecta,30.2915882618,-97.7448699329
143,238643686,Insecta,30.3130009997,-97.7438206
144,235162006,Insecta,30.2745216667,-97.827745
145,233576271,Insecta,30.2591555556,-97.6851805556
146,233395475,Insecta,30.3097333333,-97.717445
147,232598256,Insecta,30.3070192746,-97.8092275849
148,231937243,Insecta,30.2973033333,-97.732095
149,231660179,Insecta,30.2665075291,-97.7430609986
150,231262407,Insecta,30.2919482558,-97.6703714292
151,231114147,Insecta,30.2645111084,-97.7701034546
152,224561629,Insecta,30.3235651142,-97.7085116085
153,223604026,Insecta,30.344145,-97.743255
154,223149568,Insecta,30.344345,-97.7428966667
155,222693642,Insecta,30.3443916667,-97.7430283333
156,222425036,Insecta,30.3510913,-97.7571341
157,222339949,Insecta,30.3132716667,-97.6941383333
158,222267419,Insecta,30.2641902,-97.76847221
159,221001734,Insecta,30.34412,-97.7432716667
160,219836750,Insecta,30.2226416667,-97.7357166667
161,219338977,Insecta,30.3095283333,-97.8227466667
162,219233746,Insecta,30.296405,-97.8328783333
163,219142459,Insecta,30.3405303955,-97.6776809692
164,218746890,Insecta,30.2636871338,-97.7734985352
165,218524917,Insecta,30.3131866667,-97.6941916667
166,218438156,Insecta,30.2971702456,-97.7013010141
167,217298269,Insecta,30.2623672485,-97.770149231
168,216622256,Insecta,30.2580925,-97.7384495
169,216403813,Insecta,30.26423,-97.75383
170,216198685,Insecta,30.3487,-97.7439633333
171,216140643,Insecta,30.3183469075,-97.6883413832
172,214798922,Insecta,30.3443309467,-97.743046731
173,214389896,Insecta,30.3149866667,-97.6739283333
174,214260854,Insecta,30.2839638889,-97.741775
175,214250152,Insecta,30.3097563051,-97.7174782568
176,214043360,Insecta,30.2701229165,-97.8280850603
177,214003345,Insecta,30.2891765403,-97.7483894849
178,213984050,Insecta,30.2834361111,-97.7754583333
179,213852303,Insecta,30.2485173995,-97.7048362617
180,213100398,Insecta,30.2420305556,-97.7006638889
181,211194470,Insecta,30.2811666667,-97.7519833333
182,210958549,Insecta,30.2814083333,-97.7512361111
183,210958515,Insecta,30.2818611111,-97.7515277778
184,210958514,Insecta,30.2817638889,-97.7514555556
185,210958501,Insecta,30.2813388889,-97.7512055556
186,210958498,Insecta,30.2811055556,-97.7511833333
187,210958496,Insecta,30.2815694444,-97.7512361111
188,210958489,Insecta,30.2815888889,-97.7512722222
